コード,全国，都道府県，市区町村,総数,男,女
04202,石巻市,"140,151","68,338","71,813"
0420B,（旧：石巻市）,"99,904","48,687","51,217"
04561,（旧：河北町）,"9,878","4,809","5,069"
04563,（旧：雄勝町）,"1,031",484,547
04564,（旧：河南町）,"18,481","8,933","9,548"
04565,（旧：桃生町）,"6,629","3,282","3,347"
04567,（旧：北上町）,"2,135","1,045","1,090"
04582,（旧：牡鹿町）,"2,093","1,098",995
04203,塩竈市,"52,203","24,877","27,326"
04205,気仙沼市,"61,147","29,905","31,242"
0420C,（旧：気仙沼市）,"46,207","22,659","23,548"
04603,（旧：本吉町）,"9,294","4,516","4,778"
04604,（旧：唐桑町）,"5,646","2,730","2,916"
04206,白石市,"32,758","15,976","16,782"
04207,名取市,"78,718","38,567","40,151"
04208,角田市,"27,976","13,797","14,179"
04209,多賀城市,"62,827","31,359","31,468"
04211,岩沼市,"44,068","21,684","22,384"
04212,登米市,"76,037","37,163","38,874"
04541,（旧：迫町）,"19,741","9,668","10,073"
04542,（旧：登米町）,"4,532","2,167","2,365"
04543,（旧：東和町）,"5,760","2,835","2,925"
04544,（旧：中田町）,"15,243","7,418","7,825"
04545,（旧：豊里町）,"6,332","3,102","3,230"
04546,（旧：米山町）,"8,528","4,210","4,318"
04547,（旧：石越町）,"4,588","2,270","2,318"
04548,（旧：南方町）,"8,288","4,049","4,239"
04602,（旧：津山町）,"3,025","1,444","1,581"
04213,栗原市,"64,637","31,134","33,503"
04521,（旧：築館町）,"13,180","6,503","6,677"
04522,（旧：若柳町）,"11,434","5,422","6,012"
04523,（旧：栗駒町）,"9,859","4,769","5,090"
04524,（旧：高清水町）,"3,484","1,623","1,861"
04525,（旧：一迫町）,"6,736","3,228","3,508"
04526,（旧：瀬峰町）,"4,145","1,986","2,159"
04527,（旧：鶯沢町）,"2,079",964,"1,115"
04528,（旧：金成町）,"6,284","3,049","3,235"
04529,（旧：志波姫町）,"6,536","3,154","3,382"
04530,（旧：花山村）,900,436,464
04214,東松島市,"39,098","19,089","20,009"
04562,（旧：矢本町）,"31,035","15,149","15,886"
04566,（旧：鳴瀬町）,"8,063","3,940","4,123"
04215,大崎市,"127,330","62,429","64,901"
04204,（旧：古川市）,"77,694","38,219","39,475"
04461,（旧：松山町）,"5,663","2,726","2,937"
04462,（旧：三本木町）,"7,468","3,728","3,740"
04463,（旧：鹿島台町）,"11,241","5,399","5,842"
04481,（旧：岩出山町）,"9,852","4,823","5,029"
04482,（旧：鳴子町）,"5,368","2,562","2,806"
04502,（旧：田尻町）,"10,044","4,972","5,072"
04216,富谷市,"51,651","25,091","26,560"
04423,（旧：富谷町）,"51,651","25,091","26,560"
04301,蔵王町,"11,418","5,569","5,849"
04302,七ヶ宿町,"1,262",620,642
04321,大河原町,"23,571","11,530","12,041"
04322,村田町,"10,666","5,293","5,373"
04323,柴田町,"38,271","19,342","18,929"
04324,川崎町,"8,345","4,100","4,245"
04341,丸森町,"12,262","6,117","6,145"
04361,亘理町,"33,087","16,212","16,875"
04362,山元町,"12,046","5,978","6,068"
04401,松島町,"13,323","6,414","6,909"
04404,七ヶ浜町,"18,132","9,024","9,108"
04406,利府町,"35,182","17,162","18,020"
04421,大和町,"28,786","14,979","13,807"
04422,大郷町,"7,813","3,814","3,999"
04424,大衡村,"5,849","2,938","2,911"
04444,色麻町,"6,698","3,246","3,452"
04445,加美町,"21,943","10,767","11,176"
04441,（旧：中新田町）,"12,038","5,899","6,139"
04442,（旧：小野田町）,"5,639","2,812","2,827"
04443,（旧：宮崎町）,"4,266","2,056","2,210"
04501,涌谷町,"15,388","7,520","7,868"
04505,美里町,"23,994","11,616","12,378"
04503,（旧：小牛田町）,"18,728","9,095","9,633"
04504,（旧：南郷町）,"5,266","2,521","2,745"
04581,女川町,"6,430","3,351","3,079"
04606,南三陸町,"12,225","5,980","6,245"
04601,（旧：志津川町）,"8,132","3,940","4,192"
04605,（旧：歌津町）,"4,093","2,040","2,053"
05000,秋田県,"959,502","452,439","507,063"
05201,秋田市,"307,672","145,411","162,261"
0520B,（旧：秋田市）,"294,392","139,065","155,327"
05381,（旧：河辺町）,"7,819","3,673","4,146"
05382,（旧：雄和町）,"5,461","2,673","2,788"
05202,能代市,"49,968","22,932","27,036"
0520C,（旧：能代市）,"42,117","19,323","22,794"
05342,（旧：二ツ井町）,"7,851","3,609","4,242"
05203,横手市,"85,555","40,326","45,229"
0520D,（旧：横手市）,"34,797","16,422","18,375"
05441,（旧：増田町）,"6,309","2,984","3,325"
05442,（旧：平鹿町）,"11,449","5,336","6,113"
05443,（旧：雄物川町）,"8,279","3,916","4,363"
05444,（旧：大森町）,"5,634","2,583","3,051"
05445,（旧：十文字町）,"11,756","5,580","6,176"
05446,（旧：山内村）,"3,006","1,432","1,574"
